Attempt,PermitURL,CurrentTime,WithinRange,CurrentScheduledDay,EarliestAllowableDay,NextAvailableDay,SecondAvailableDay,ThirdAvailableDay,FourthAvailableDay
1,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:41,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
2,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:42,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
3,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:43,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
4,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:43,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
5,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:44,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
6,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:45,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
7,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:46,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
8,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:46,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
9,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:47,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
10,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:48,FALSE,10/15/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
11,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:49,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
12,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:50,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
13,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:50,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
14,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:51,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
15,https://cosaccela.seattle.gov/Portal/Cap/CapDetail.aspx?Module=DPDPermits&TabName=DPDPermits&capID1=18DPD&capID2=00000&capID3=97044&agencyCode=SEATTLE,7/8/2019 10:52,FALSE,10/21/2019,7/24/2019,10/22/2019,10/23/2019,10/24/2019,10/25/2019
